class name,loss,rec_error,kl,iou
"airplane,aeroplane,plane",26.707861361309092,26.707861361309092,0.0,0.508646
bench,62.63064995810348,62.63064995810348,0.0,0.4196043
cabinet,131.43537747935883,131.43537747935883,0.0,0.7171219
"car,auto,automobile,machine,motorcar",68.11385649438697,68.11385649438697,0.0,0.7048233
chair,149.30209128531143,149.30209128531143,0.0,0.4744062
"display,video display",119.05421357612087,119.05421357612087,0.0,0.596972
lamp,93.44564986151701,93.44564986151701,0.0,0.3016515
"loudspeaker,speaker,speaker unit,loudspeaker system,speaker system",213.79821845842957,213.79821845842957,0.0,0.6906273
rifle,17.539108005757072,17.539108005757072,0.0,0.4259577
"sofa,couch,lounge",102.14288885134627,102.14288885134627,0.0,0.7021779
table,124.47396025469834,124.47396025469834,0.0,0.4956434
"telephone,phone,telephone set",51.1162106468564,51.1162106468564,0.0,0.71114314
"vessel,watercraft",45.92218796104116,45.92218796104116,0.0,0.5196358
