idx,class id,class name,modelname,mesh,time (encode inputs),n_decoder_calls,n_queries,n_query_chunks,time (decode),time (mise),time (host transfer),us_per_1k_queries,time (eval points),time (marching cubes)
0,02691156,"airplane,aeroplane,plane",d18592d9615b01bbbc0909d98a1ff2b4,4.6600000858306885,4.402815818786621,6,105245,6,0.016472816467285156,0.1418004035949707,0.0029773712158203125,156.51875592460598,0.1693415641784668,0.08211207389831543
1,02828884,bench,c83b3192c338527a2056b4bd5d870b47,0.29515910148620605,0.009124279022216797,11,93340,11,0.025367021560668945,0.1648249626159668,0.005182027816772461,271.77010457112647,0.20023775100708008,0.07925534248352051
2,02933112,cabinet,b06b351b939e279bc5ff6d1af2135fc9,0.22893834114074707,0.008599042892456055,6,111275,6,0.015752077102661133,0.11066746711730957,0.0030782222747802734,141.55989308165474,0.13328027725219727,0.08100533485412598
3,02958343,"car,auto,automobile,machine,motorcar",cbc946b4f4c022305e524bb779a94481,0.24363160133361816,0.013493776321411133,6,103384,6,0.04082655906677246,0.1009519100189209,0.004002809524536133,394.9021034857663,0.14976739883422852,0.07465624809265137
4,03001627,chair,cbc47018135fc1b1462977c6d3c24550,0.34464311599731445,0.01205134391784668,7,145564,7,0.06004595756530762,0.17961335182189941,0.0037152767181396484,412.5055478367427,0.24742698669433594,0.0766291618347168
5,03211117,"display,video display",d7ab9503d7f6dac6b4382097c3e8bcf7,0.1981828212738037,0.007191896438598633,6,93949,6,0.010823488235473633,0.09345579147338867,0.002524137496948242,115.20599724822652,0.11061787605285645,0.07445192337036133
6,03636649,lamp,d153ae6d65b31e00fcb8d8c6d4df8143,0.24569392204284668,0.009128808975219727,7,115439,7,0.01484060287475586,0.1362321376800537,0.0029981136322021484,128.55796459390552,0.15703749656677246,0.07277464866638184
7,03691459,"loudspeaker,speaker,speaker unit,loudspeaker system,speaker system",c91e878553979be9c5c378bd9e63485,0.29274487495422363,0.009776115417480469,9,119921,9,0.017625093460083008,0.17569398880004883,0.004036426544189453,146.97253575339604,0.2014014720916748,0.07464385032653809
8,04090263,rifle,ca2bafb1ba4b97a1683e3750b53385d5,0.17484569549560547,0.007028102874755859,5,84589,5,0.010294198989868164,0.07040762901306152,0.0019068717956542969,121.69666256686051,0.08551454544067383,0.07858753204345703
9,04256520,"sofa,couch,lounge",cc7b690e4d86b471397aad305ec14786,0.237929105758667,0.006872892379760742,6,129748,6,0.013275623321533203,0.12584924697875977,0.0027854442596435547,102.31851991193085,0.1451256275177002,0.0790104866027832
10,04379243,table,cd4e8748514e028642d23b95defe1ce5,0.49633145332336426,0.006627559661865234,16,131094,16,0.034501075744628906,0.3525421619415283,0.0073566436767578125,263.17814503050414,0.3989710807800293,0.08258461952209473
11,04401088,"telephone,phone,telephone set",d2f3eb92a31649647c17b7a9bb17a24,0.17426013946533203,0.008840560913085938,6,66040,6,0.011607885360717773,0.06126832962036133,0.002394437789916992,175.77052333006924,0.07802796363830566,0.08151960372924805
12,04530566,"vessel,watercraft",cd67f7d1ba943b162f84cb7932f866fd,0.3137223720550537,0.013285160064697266,7,161318,7,0.0223541259765625,0.18305683135986328,0.0031328201293945312,138.5718021334414,0.21195077896118164,0.07736396789550781
