idx,class id,class name,modelname,mesh,time (encode inputs),time (eval points),time (marching cubes)
0,02691156,"airplane,aeroplane,plane",d18592d9615b01bbbc0909d98a1ff2b4,1.500004768371582,1.3391027450561523,0.13124752044677734,0.0273587703704834
1,02828884,bench,c83b3192c338527a2056b4bd5d870b47,0.10903024673461914,0.008551597595214844,0.07962703704833984,0.018296241760253906
2,02933112,cabinet,b06b351b939e279bc5ff6d1af2135fc9,0.1899418830871582,0.009720802307128906,0.1502537727355957,0.025238752365112305
3,02958343,"car,auto,automobile,machine,motorcar",cbc946b4f4c022305e524bb779a94481,0.10373091697692871,0.00815272331237793,0.07671356201171875,0.016386032104492188
4,03001627,chair,cbc47018135fc1b1462977c6d3c24550,0.2191944122314453,0.008533716201782227,0.1823275089263916,0.02304863929748535
5,03211117,"display,video display",d7ab9503d7f6dac6b4382097c3e8bcf7,0.11080527305603027,0.00839686393737793,0.08010244369506836,0.01903820037841797
6,03636649,lamp,d153ae6d65b31e00fcb8d8c6d4df8143,0.13231348991394043,0.00791311264038086,0.09938526153564453,0.02091360092163086
7,03691459,"loudspeaker,speaker,speaker unit,loudspeaker system,speaker system",c91e878553979be9c5c378bd9e63485,0.16532301902770996,0.008381843566894531,0.132951021194458,0.02010941505432129
8,04090263,rifle,ca2bafb1ba4b97a1683e3750b53385d5,0.08901572227478027,0.008266925811767578,0.06375932693481445,0.015267610549926758
9,04256520,"sofa,couch,lounge",cc7b690e4d86b471397aad305ec14786,0.1291491985321045,0.009997367858886719,0.09724783897399902,0.018054962158203125
10,04379243,table,cd4e8748514e028642d23b95defe1ce5,0.12819910049438477,0.009305238723754883,0.09784436225891113,0.017670154571533203
11,04401088,"telephone,phone,telephone set",d2f3eb92a31649647c17b7a9bb17a24,0.12960267066955566,0.008905649185180664,0.09752082824707031,0.01806020736694336
12,04530566,"vessel,watercraft",cd67f7d1ba943b162f84cb7932f866fd,0.1472926139831543,0.011102676391601562,0.1138758659362793,0.017614126205444336
