class name,loss,rec_error,kl,iou
"airplane,aeroplane,plane",12.934292802041481,12.934292802041481,0.0,0.66573775
bench,21.657021806588187,21.657021806588187,0.0,0.70182353
cabinet,44.75673560428012,44.75673560428012,0.0,0.87286717
"car,auto,automobile,machine,motorcar",36.51093817584271,36.51093817584271,0.0,0.8102529
chair,51.98277551292053,51.98277551292053,0.0,0.7409114
"display,video display",33.03569657617508,33.03569657617508,0.0,0.8378392
lamp,42.21264094757982,42.21264094757982,0.0,0.5826439
"loudspeaker,speaker,speaker unit,loudspeaker system,speaker system",92.17315030540844,92.17315030540844,0.0,0.8379133
rifle,6.129674659876883,6.129674659876883,0.0,0.73658
"sofa,couch,lounge",36.61313271296889,36.61313271296889,0.0,0.8587382
table,43.5236728987506,43.5236728987506,0.0,0.76388127
"telephone,phone,telephone set",13.063452550343104,13.063452550343104,0.0,0.8951923
"vessel,watercraft",21.11655039989055,21.11655039989055,0.0,0.72477174
